genre
Bass Music
Blues
Boom Bap
Brass & Military
Children's
Classical
Conscious
Downtempo
Electro
Electronic
Experimental
Folk, World, & Country
Funk / Soul
Gangsta
Hardcore Hip-Hop
Hip-Hop
House
Instrumental
Jazz
Jazzy Hip-Hop
Latin
Non-Music
Pop
Pop Rap
Reggae
RnB/Swing
Rock
Stage & Screen
Thug Rap
